playerID,yearID,stint,teamID,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP
bechtge01,1871,1,PH1,NA,1,2,3,3,2,0,0,78,43,23,0,11,1,,7.96,,,,0,,,42,,,
brainas01,1871,1,WS3,NA,12,15,30,30,30,0,0,792,361,132,4,37,13,,4.5,,,,0,,,292,,,
fergubo01,1871,1,NY2,NA,0,0,1,0,0,0,0,3,8,3,0,0,0,,27,,,,0,,,9,,,
fishech01,1871,1,RC1,NA,4,16,24,24,22,1,0,639,295,103,3,31,15,,4.35,,,,0,,,257,,,
fleetfr01,1871,1,NY2,NA,0,1,1,1,1,0,0,27,20,10,0,3,0,,10,,,,0,,,21,,,
flowedi01,1871,1,TRO,NA,0,0,1,0,0,0,0,3,1,0,0,0,0,,0,,,,0,,,0,,,
mackde01,1871,1,RC1,NA,0,1,3,1,1,0,0,39,20,5,0,3,1,,3.46,,,,0,,,30,,,
mathebo01,1871,1,FW1,NA,6,11,19,19,19,1,0,507,261,97,5,21,17,,5.17,,,,2,,,243,,,
mcbridi01,1871,1,PH1,NA,18,5,25,25,25,0,0,666,285,113,3,40,15,,4.58,,,,0,,,223,,,
mcmuljo01,1871,1,TRO,NA,12,15,29,29,28,0,0,747,430,153,4,75,12,,5.53,,,,0,,,362,,,
meyerle01,1871,1,PH1,NA,0,0,1,0,0,0,0,3,1,1,0,2,0,,9,,,,0,,,1,,,
paborch01,1871,1,CL1,NA,0,2,7,1,1,0,0,88,50,22,4,6,0,,6.75,,,,0,,,53,,,
pinkhed01,1871,1,CH1,NA,1,0,3,0,0,0,1,31,10,4,0,3,0,,3.48,,,,0,,,8,,,
prattal01,1871,1,CL1,NA,10,17,28,28,22,0,0,674,296,94,9,47,34,,3.77,,,,0,,,288,,,
spaldal01,1871,1,BS1,NA,19,10,31,31,22,1,0,772,333,96,2,38,23,,3.36,,,,0,,,272,,,
stearbi01,1871,1,WS3,NA,2,0,2,2,2,0,0,54,10,5,0,8,0,,2.5,,,,0,,,11,,,
woltery01,1871,1,NY2,NA,16,16,32,32,31,1,0,849,345,108,7,39,22,,3.43,,,,0,,,283,,,
wrighha01,1871,1,BS1,NA,1,0,9,0,0,0,3,56,34,13,0,4,0,,6.27,,,,0,,,31,,,
zettlge01,1871,1,CH1,NA,18,9,28,28,25,0,0,722,298,73,6,25,22,,2.73,,,,0,,,233,,,
bentlcy01,1872,1,MID,NA,2,15,18,17,16,0,0,462,273,105,4,12,5,,6.14,,,,0,,,252,,,
brainas01,1872,1,WS3,NA,2,7,9,9,9,0,0,237,147,56,0,5,1,,6.38,,,,0,,,140,,,
brainas01,1872,2,MID,NA,0,2,2,2,1,0,0,24,14,7,1,0,0,,7.88,,,,0,,,17,,,
brittji01,1872,1,BR2,NA,9,28,37,37,37,0,0,1008,561,189,6,19,13,,5.06,,,,1,,,473,,,
buttefr01,1872,1,MID,NA,3,2,6,5,5,0,0,147,81,28,0,1,0,,5.14,,,,0,,,78,,,
cummica01,1872,1,NY2,NA,33,20,55,55,53,3,0,1491,600,139,2,30,43,,2.52,,,,0,,,347,,,
fishech01,1872,1,BL1,NA,10,1,19,11,9,1,1,331,89,31,0,11,20,,2.53,,,,0,,,78,,,
