yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
1872,NA,BR1,ECK,,9,29,,3,26,,,N,,152,1075,235,26,6,0,14,29,8,4,,,413,165,5.73,28,0,0,777,503,6,24,0,278,,0.79,Brooklyn Eckfords,Union Grounds,,87,96,ECK,BR1,BR1
1872,NA,BR2,BRA,,6,37,,9,28,,,N,,237,1466,370,46,10,0,19,24,17,14,,,473,189,5.06,37,0,0,1008,561,6,19,0,358,,0.81,Brooklyn Atlantics,Capitoline Grounds,,115,122,BRA,BR2,BR2
1872,NA,BS1,BNA,,1,48,,39,8,,,Y,,521,2137,677,114,31,7,28,26,47,14,,,236,95,1.99,41,3,1,1290,438,0,27,0,263,,0.87,Boston Red Stockings,South End Grounds I,,105,100,BOS,BS1,BS1
1872,NA,CL1,CFC,,7,22,,6,16,,,N,,174,935,272,37,6,0,17,13,12,3,,,254,101,4.57,15,0,0,597,289,6,24,0,168,,0.82,Cleveland Forest Citys,National Association Grounds,,96,100,CLE,CL1,CL1
1872,NA,MID,MAN,,8,24,,5,19,,,N,,220,1014,305,31,8,1,5,12,5,3,,,348,140,5.97,22,0,0,633,368,5,13,0,224,,0.8,Middletown Mansfields,Mansfield Club Grounds,,98,103,MAN,MID,MID
1872,NA,NY2,NNA,,3,56,,34,20,,,N,,523,2423,668,86,13,4,55,52,56,21,,,362,145,2.55,54,3,0,1536,618,2,32,0,326,,0.86,New York Mutuals,Union Grounds (Brooklyn),,93,92,NYU,NY2,NY2
1872,NA,PH1,PNA,,4,47,,30,14,,,N,,539,2140,678,77,23,4,69,47,58,32,,,349,140,3.01,47,1,0,1257,513,3,26,0,298,,0.85,Philadelphia Athletics,Jefferson Street Grounds,,102,100,ATH,PH1,PH1
1872,NA,TRO,TRO,,5,25,,15,10,,,N,,273,1124,329,56,11,5,7,14,9,7,,,191,77,3.08,17,2,0,675,282,2,10,0,144,,0.86,Troy Haymakers,Haymakers' Grounds,,101,100,TRO,TRO,TRO
1872,NA,WS3,OLY,,10,9,,2,7,,,N,,54,363,93,12,3,0,4,4,0,3,,,140,56,6.38,9,0,0,237,147,0,5,0,96,,0.78,Washington Olympics,Olympics Grounds,,94,98,OLY,WS3,WS3
1872,NA,WS4,NAT,,11,11,,0,11,,,N,,80,460,105,3,2,0,1,3,0,0,,,190,76,6.91,11,0,0,297,194,2,3,0,100,,0.76,Washington Nationals,Nationals Grounds,,129,141,NAT,WS4,WS4
1873,NA,BL1,BLC,,3,57,,34,22,,,N,,644,2563,810,119,39,12,40,25,21,10,,,451,170,3.01,55,1,0,1524,680,4,42,34,366,,0.85,Baltimore Canaries,Newington Park,,101,102,BAL,BL1,BL1
1873,NA,BL4,MAR,,9,6,,0,6,,,N,,26,211,33,5,0,0,0,0,0,0,,,152,48,8,6,0,0,162,144,4,0,0,70,,0.76,Baltimore Marylands,Newington Park,,77,99,MAR,BL4,BL4
1873,NA,BR2,BRA,,6,55,,17,37,,,N,,366,2210,588,60,27,6,53,43,18,9,,,549,221,3.98,52,1,0,1500,737,8,42,15,505,,0.82,Brooklyn Atlantics,Union Grounds,,90,94,BRA,BR2,BR2
1873,NA,BS1,BNA,,1,60,,43,16,,,Y,,739,2755,930,137,46,13,62,24,39,27,,,460,154,2.59,48,1,3,1608,708,5,35,31,434,,0.83,Boston Red Stockings,South End Grounds I,,106,100,BOS,BS1,BS1
1873,NA,ELI,RES,,8,23,,2,21,,,N,,98,868,204,21,8,0,8,22,2,1,,,299,74,3.22,22,0,0,621,342,7,9,8,247,,0.78,Elizabeth Resolutes,Waverly Fairgrounds,,92,103,RES,ELI,ELI
1873,NA,NY2,NNA,,4,53,,29,24,,,N,,424,2214,622,67,41,5,42,22,15,5,,,385,139,2.62,48,2,0,1431,539,5,69,76,419,,0.82,New York Mutuals,Union Grounds (Brooklyn),,98,96,NYU,NY2,NY2
1873,NA,PH1,PNA,,5,52,,28,23,,,N,,474,2266,683,76,22,4,35,32,29,24,,,403,160,3.03,44,3,1,1425,553,4,58,41,383,,0.84,Philadelphia Athletics,Jefferson Street Grounds,,108,105,ATH,PH1,PH1
1873,NA,PH2,PWS,,2,53,,36,17,,,N,,526,2325,645,83,20,8,62,39,44,14,,,396,148,2.77,50,0,0,1443,627,3,44,28,361,,0.84,Philadelphia Whites,Jefferson Street Grounds,,103,101,PHI,PH2,PH2
1873,NA,WS5,WBL,,7,39,,8,31,,,N,,283,1563,408,45,25,3,19,33,5,5,,,485,181,4.71,39,0,0,1038,593,11,22,7,240,,0.84,Washington Blue Legs,Olympics Grounds,,96,102,WAS,WS5,WS5
1874,NA,BL1,BLC,,8,47,,9,38,,,N,,227,1781,435,53,8,1,24,0,,,,,505,201,4.31,43,0,0,1260,643,4,37,0,355,,0.81,Baltimore Canaries,Newington Park,,102,104,BAL,BL1,BL1
1874,NA,BR2,BRA,,6,56,,22,33,,,N,,301,2165,497,50,11,1,32,0,,,,,449,180,3.2,56,1,0,1518,621,16,13,0,500,,0.82,Brooklyn Atlantics,Union Grounds,,89,94,BRA,BR2,BR2
1874,NA,BS1,BNA,,1,71,,52,18,,,Y,,735,3122,981,130,57,18,32,0,,,,,415,166,2.36,65,4,3,1899,777,1,27,0,457,,0.85,Boston Red Stockings,South End Grounds I,,105,98,BOS,BS1,BS1
1874,NA,CH2,CNA,,5,59,,28,31,,,N,,418,2457,690,89,3,3,34,0,,,,,480,192,3.24,58,3,0,1599,696,7,48,0,446,,0.83,Chicago White Stockings,23rd Street Grounds,,101,102,CHI,CH2,CH2
1874,NA,HR1,HNA,,7,53,,16,37,,,N,,371,2140,587,92,19,2,26,0,,,,,471,189,3.54,45,0,1,1443,660,2,23,0,501,,0.8,Hartford Dark Blues,Hartford Ball Club Grounds,,106,106,HAR,HR1,HR1
1874,NA,NY2,NNA,,2,65,,42,23,,,N,,500,2719,709,100,31,8,38,0,,,,,377,150,2.3,62,4,0,1758,658,3,40,0,438,,0.84,New York Mutuals,Union Grounds (Brooklyn),,103,102,NYU,NY2,NY2
1874,NA,PH1,PNA,,3,55,,33,22,,,N,,441,2260,646,87,17,6,24,0,,,,,344,138,2.55,55,0,0,1461,514,5,29,0,396,,0.83,Philadelphia Athletics,Jefferson Street Grounds,,108,105,ATH,PH1,PH1
1874,NA,PH2,PWS,,4,58,,29,29,,,N,,476,2432,690,74,51,3,28,0,,,,,428,172,2.95,56,3,0,1572,666,4,21,0,518,,0.8,Philadelphia Whites,Jefferson Street Grounds,,103,101,PHI,PH2,PH2
1875,NA,BR2,BRA,,11,44,,2,42,,,N,,132,1547,304,32,9,2,10,0,,,,,438,174,3.95,31,0,0,1188,531,9,22,0,426,,0.8,Brooklyn Atlantics,Union Grounds,,88,94,BRA,BR2,BR2
1875,NA,BS1,BNA,,1,82,,71,8,,,Y,,831,3516,1124,157,54,14,31,0,,,,,343,138,1.7,60,10,17,2196,751,2,29,0,464,,0.86,Boston Red Stockings,South End Grounds I,,103,96,BOS,BS1,BS1
1875,NA,CH2,CNA,,6,69,,30,37,,,N,,379,2658,697,85,13,0,24,0,,,,,416,167,2.4,65,7,0,1875,652,0,28,0,385,,0.86,Chicago White Stockings,23rd Street Grounds,,101,102,CHI,CH2,CH2
1875,NA,HR1,HNA,,3,86,,54,28,,,N,,557,3342,873,98,34,2,40,0,,,,,343,138,1.61,83,13,0,2313,706,4,16,0,432,,0.88,Hartford Dark Blues,Hartford Ball Club Grounds,,107,105,HAR,HR1,HR1
1875,NA,KEO,WES,,13,13,,1,12,,,N,,45,449,81,9,6,0,1,0,,,,,88,35,2.81,13,0,0,336,110,0,14,0,68,,0.85,Keokuk Westerns,Perry Park,,105,109,WES,KEO,KEO
1875,NA,NH1,NHV,,8,47,,7,40,,,N,,170,1708,374,42,12,2,13,0,,,,,397,158,3.34,40,0,0,1278,500,5,22,0,437,,0.81,New Haven Elm Citys,Hamilton Park,,87,93,NHV,NH1,NH1
1875,NA,NY2,NNA,,6,71,,30,38,,,N,,328,2683,626,84,24,7,21,0,,,,,425,170,2.4,70,2,0,1911,716,3,24,0,526,,0.83,New York Mutuals,Union Grounds (Brooklyn),,99,100,NYU,NY2,NY2
1875,NA,PH1,PNA,,2,77,,53,20,,,N,,699,3245,940,126,61,10,40,0,,,,,402,161,2.11,75,6,0,2061,775,4,40,0,418,,0.87,Philadelphia Athletics,Jefferson Street Grounds,,107,106,ATH,PH1,PH1
1875,NA,PH2,PWS,,5,70,,37,31,,,N,,470,2717,681,65,28,5,22,0,,,,,376,150,2.15,64,5,0,1881,650,6,30,0,475,,0.84,Philadelphia Whites,Jefferson Street Grounds,,104,102,PHI,PH2,PH2
1875,NA,PH3,CEN,,11,14,,2,12,,,N,,70,529,126,19,3,0,8,0,,,,,138,55,3.93,14,0,0,378,170,0,3,0,164,,0.76,Philadelphia Centennials,Centennial Grounds,,92,98,CEN,PH3,PH3
1875,NA,SL1,SLR,,10,19,,4,15,,,N,,60,688,138,20,1,0,14,0,,,,,161,64,3.37,16,2,0,513,207,0,3,0,150,,0.83,St. Louis Red Stockings,Red Stocking Baseball Park,,90,98,SLR,SL1,SL1
1875,NA,SL2,SNA,,4,70,,39,29,,,N,,386,2679,641,84,27,0,33,0,,,,,369,148,2.11,67,5,1,1890,634,3,20,0,424,,0.86,St. Louis Brown Stockings,Grand Avenue Park,,89,86,STL,SL2,SL2
1875,NA,WS6,WNT,,9,28,,5,23,,,N,,107,997,194,12,11,0,5,0,,,,,338,135,4.86,23,0,0,750,397,6,11,0,263,,0.79,Washington Nationals,Olympics Grounds,,96,106,WAS,WS6,WS6
1876,NL,BSN,ATL,,4,70,,39,31,,,N,,471,2722,723,96,24,9,58,98,,,,,450,176,2.51,49,3,7,1896,732,7,104,77,422,42,0.86,Boston Red Caps,South End Grounds I,,102,98,BSN,BSN,BSN
1876,NL,CHN,CHC,,1,66,,52,14,,,Y,,624,2748,926,131,32,8,70,45,,,,,257,116,1.76,59,9,4,1776,608,6,29,51,282,33,0.89,Chicago White Stockings,23rd Street Grounds,,112,106,CHC,CHN,CHN
1876,NL,CN1,CNR,,8,65,,9,56,,,N,,238,2372,555,51,12,4,41,136,,,,,579,238,3.62,57,0,0,1773,850,9,34,60,469,45,0.84,Cincinnati Reds,Avenue Grounds,,86,95,CIN,CN1,CN1
1876,NL,HAR,HAR,,2,69,,47,21,,,N,,429,2664,711,96,22,2,39,78,,,,,261,116,1.67,69,11,0,1872,570,2,27,114,337,27,0.88,Hartford Dark Blues,Hartford Ball Club Grounds,,110,106,HAR,HAR,HAR
1876,NL,LS1,LGR,,5,69,,30,36,,,N,,280,2570,641,68,14,6,24,98,,,,,344,121,1.69,67,5,0,1929,605,3,38,125,396,44,0.87,Louisville Grays,Louisville Baseball Park,,117,117,LOU,LS1,LS1
1876,NL,NY3,NYU,,6,57,,21,35,,,N,,260,2180,494,39,15,2,18,35,,,,,412,173,2.94,56,2,0,1590,718,8,24,37,475,18,0.82,New York Mutuals,Union Grounds (Brooklyn),,96,100,NYU,NY3,NY3
1876,NL,PHN,ATH,,7,60,,14,45,,,N,,378,2387,646,79,35,7,27,36,,,,,534,197,3.22,53,1,2,1650,783,2,41,22,456,32,0.83,Philadelphia Athletics,Jefferson Street Grounds,,104,104,ATH,PHN,PHN
1876,NL,SL3,SBS,,3,64,,45,19,,,N,,386,2478,642,73,27,2,59,63,,,,,229,78,1.22,63,16,0,1731,472,3,39,103,268,33,0.9,St. Louis Brown Stockings,Sportsman's Park I,,93,92,STL,SL3,SL3
1877,NL,BSN,ATL,,1,61,,42,18,,,Y,,419,2368,700,91,37,4,65,121,,,,,263,131,2.15,61,7,0,1644,557,5,38,177,289,36,0.88,Boston Red Caps,South End Grounds I,,104,100,BSN,BSN,BSN
1877,NL,CHN,CHC,,5,60,,26,33,,,N,,366,2273,633,79,30,0,57,111,,,,,375,200,3.37,45,3,3,1602,630,7,58,92,313,43,0.88,Chicago White Stockings,23rd Street Grounds,,112,106,CHC,CHN,CHN
1877,NL,CN1,CNR,,6,58,,15,42,,,N,,291,2135,545,72,34,6,78,110,,,,,485,240,4.19,48,1,1,1545,747,4,61,85,393,33,0.85,Cincinnati Reds,Avenue Grounds,,89,94,CIN,CN1,CN1
1877,NL,HAR,HAR,,3,60,,31,27,,,N,,341,2358,637,63,31,4,30,97,,,,,311,140,2.32,59,4,0,1632,572,2,56,99,313,32,0.88,Hartford Dark Blues,Union Grounds (Brooklyn),,90,87,HAR,HAR,HAR
1877,NL,LS1,LGR,,2,61,,35,25,,,N,,339,2355,659,75,36,9,58,140,,,,,288,140,2.25,61,4,0,1677,617,4,41,141,267,37,0.9,Louisville Grays,Louisville Baseball Park,,117,117,LOU,LS1,LS1
1877,NL,SL3,SBS,,4,60,,28,32,,,N,,284,2178,531,51,36,1,57,147,,,,,318,160,2.66,52,1,0,1623,582,2,92,132,281,29,0.89,St. Louis Brown Stockings,Sportsman's Park I,,95,93,STL,SL3,SL3
1878,NL,BSN,ATL,,1,60,,41,19,,,Y,,298,2220,535,75,25,2,35,154,,,,,241,140,2.32,58,9,0,1632,595,6,38,184,228,48,0.91,Boston Red Caps,South End Grounds I,,108,102,BSN,BSN,BSN
1878,NL,CHN,CHC,,4,61,,30,30,,,N,,371,2333,677,91,20,3,88,157,,,,,331,145,2.37,61,1,0,1653,577,4,35,175,304,37,0.89,Chicago White Stockings,Lake Front Park I,,106,105,CHC,CHN,CHN
1878,NL,CN1,CNR,,2,61,,37,23,,,N,,333,2281,629,67,22,5,58,141,,,,,281,112,1.84,61,6,0,1644,546,2,63,220,254,37,0.9,Cincinnati Reds,Avenue Grounds,,91,92,CIN,CN1,CN1
1878,NL,IN1,IBL,,5,63,,24,36,,,N,,293,2300,542,76,15,3,64,197,,,,,328,149,2.32,59,2,1,1734,621,3,87,182,290,37,0.89,Indianapolis Blues,South Street Park,,87,89,IND,IN1,IN1
1878,NL,ML2,MLG,,6,61,,15,45,,,N,,256,2212,552,65,20,2,69,214,,,,,386,158,2.6,54,1,0,1641,589,3,55,147,376,32,0.86,Milwaukee Grays,Eclipse Park II,,106,113,MLG,ML2,ML2
1878,NL,PRO,PRO,,3,62,,33,27,,,N,,353,2298,604,107,30,8,50,218,,,,,337,147,2.38,59,6,0,1668,609,5,86,173,311,42,0.89,Providence Grays,Messer Street Grounds,,100,96,PRO,PRO,PRO
1879,NL,BFN,BUF,,3,79,,46,32,,,N,,394,2906,733,105,54,2,78,314,,,,,365,185,2.34,78,8,0,2139,698,3,47,198,331,62,0.9,Buffalo Bisons,Riverside Park,,102,105,BUF,BFN,BFN
1879,NL,BSN,ATL,,2,84,,54,30,,,N,,562,3217,883,138,51,20,90,222,,,,,348,183,2.19,80,13,0,2259,757,9,46,230,319,58,0.91,Boston Red Caps,South End Grounds I,,102,100,BSN,BSN,BSN
1879,NL,CHN,CHC,,4,83,,46,33,,,N,,437,3116,808,167,32,3,73,294,,,,,411,203,2.46,82,6,0,2232,762,5,57,211,381,52,0.9,Chicago White Stockings,Lake Front Park I,,106,103,CHC,CHN,CHN
1879,NL,CL2,CBL,,6,82,,27,55,,,N,,322,2987,666,116,29,4,37,214,,,,,461,218,2.65,79,3,0,2223,818,4,116,287,405,42,0.88,Cleveland Blues,Kennard Street Park,,99,100,CLV,CL2,CL2
1879,NL,CN1,CNR,,5,81,,43,37,,,N,,485,3085,813,127,53,8,66,207,,,,,464,185,2.29,79,4,0,2178,756,11,81,246,426,48,0.87,Cincinnati Reds,Avenue Grounds,,95,94,CIN,CN1,CN1
1879,NL,PRO,PRO,,1,85,,59,25,,,Y,,612,3392,1003,142,55,12,91,172,,,,,355,188,2.18,73,3,2,2328,765,9,62,329,382,41,0.9,Providence Grays,Messer Street Grounds,,99,95,PRO,PRO,PRO
1879,NL,SR1,SYR,,7,71,,22,48,,,N,,276,2611,592,61,19,5,28,238,,,,,462,230,3.19,64,5,0,1947,775,4,52,132,398,37,0.87,Syracuse Stars,Newell Park,,89,95,SYR,SR1,SR1
1879,NL,TRN,TRT,,8,77,,19,56,,,N,,321,2841,673,102,24,4,45,182,,,,,543,216,2.8,75,3,0,2085,840,13,47,210,460,44,0.87,Troy Trojans,Putnam Grounds,,93,100,TRO,TRN,TRN
1880,NL,BFN,BUF,,7,85,,24,58,,,N,,331,2962,669,104,37,3,90,327,,,,,502,254,3.09,72,6,1,2217,879,10,78,186,403,55,0.89,Buffalo Bisons,Riverside Park,,102,103,BUF,BFN,BFN
1880,NL,BSN,ATL,,6,86,,40,44,,,N,,416,3080,779,134,41,20,105,221,,,,,456,255,3.08,70,4,0,2232,840,2,86,187,368,54,0.9,Boston Red Caps,South End Grounds I,,97,96,BSN,BSN,BSN
1880,NL,CHN,CHC,,1,86,,67,17,,,Y,,538,3135,876,164,39,4,104,217,,,,,317,166,1.93,80,8,3,2325,622,8,129,367,329,41,0.91,Chicago White Stockings,Lake Front Park I,,106,102,CHC,CHN,CHN
1880,NL,CL2,CBL,,3,85,,47,37,,,N,,387,3002,726,130,52,7,76,237,,,,,337,160,1.9,83,7,1,2277,685,4,98,289,330,52,0.91,Cleveland Blues,Kennard Street Park,,98,99,CLV,CL2,CL2
1880,NL,CN1,CNR,,8,83,,21,59,,,N,,296,2895,649,91,36,7,75,267,,,,,472,193,2.44,79,3,0,2139,785,10,88,208,427,49,0.87,Cincinnati Reds,Bank Street Grounds,,98,104,CIN,CN1,CN1
1880,NL,PRO,PRO,,2,87,,52,32,,,N,,419,3196,793,114,34,8,89,186,,,,,299,146,1.64,75,13,2,2397,663,7,51,286,357,53,0.91,Providence Grays,Messer Street Grounds,,97,93,PRO,PRO,PRO
1880,NL,TRN,TRT,,4,83,,41,42,,,N,,392,3007,755,114,37,5,120,260,,,,,438,225,2.74,81,4,0,2214,763,8,113,173,366,58,0.9,Troy Trojans,Haymakers' Grounds,,105,106,TRO,TRN,TRN
1880,NL,WOR,WOR,,5,85,,40,43,,,N,,412,3024,699,129,52,8,81,278,,,,,370,192,2.27,68,7,5,2286,709,13,97,297,355,49,0.9,Worcester Ruby Legs,Worcester Driving Park Grounds,,108,109,WOR,WOR,WOR
1881,NL,BFN,BUF,,3,83,,45,38,,,N,,440,3019,797,157,50,12,108,270,,,,,447,234,2.84,72,5,0,2226,881,9,89,185,408,48,0.89,Buffalo Bisons,Riverside Park,,99,100,BUF,BFN,BFN
1881,NL,BSN,ATL,,6,83,,38,45,,,N,,349,2916,733,121,27,5,110,193,,,,,410,220,2.71,72,6,3,2190,763,9,143,199,293,54,0.91,Boston Red Caps,South End Grounds I,,96,96,BSN,BSN,BSN
1881,NL,CHN,CHC,,1,84,,56,28,,,Y,,550,3114,918,157,36,12,140,224,,,,,379,201,2.43,81,9,0,2232,722,14,122,228,309,54,0.91,Chicago White Stockings,Lake Front Park I,,105,99,CHC,CHN,CHN
1881,NL,CL2,CBL,,7,85,,36,48,,,N,,392,3117,796,120,39,7,132,224,,,,,414,226,2.68,82,2,0,2280,737,9,126,240,348,68,0.9,Cleveland Blues,Kennard Street Park,,95,95,CLV,CL2,CL2
1881,NL,DTN,DTN,,4,84,,41,43,,,N,,439,2995,780,131,53,17,136,250,,,,,429,219,2.65,83,10,0,2232,785,8,137,265,338,80,0.9,Detroit Wolverines,Recreation Park,,104,105,DTN,DTN,DTN
1881,NL,PRO,PRO,,2,85,,47,37,,,N,,447,3077,780,144,37,11,146,214,,,,,426,202,2.4,76,7,0,2271,756,5,138,264,389,66,0.89,Providence Grays,Messer Street Grounds,,98,96,PRO,PRO,PRO
1881,NL,TRN,TRT,,5,85,,39,45,,,N,,399,3046,754,124,31,5,140,240,,,,,429,254,2.97,85,8,0,2310,813,11,159,207,311,70,0.91,Troy Trojans,Haymakers' Grounds,,105,106,TRO,TRN,TRN
1881,NL,WOR,WOR,,8,83,,32,50,,,N,,410,3093,781,114,31,7,121,169,,,,,492,290,3.54,80,5,0,2211,882,11,120,196,353,50,0.9,Worcester Ruby Legs,Worcester Driving Park Grounds,,105,108,WOR,WOR,WOR
1882,NL,BFN,BUF,,3,84,,45,39,,,N,,500,3128,858,146,47,18,116,228,,,,,461,266,3.25,79,3,0,2211,778,16,114,287,315,42,0.91,Buffalo Bisons,Riverside Park,,102,101,BUF,BFN,BFN
1882,AA,BL2,BLO,,6,74,,19,54,,,N,,273,2583,535,60,24,4,72,215,,,,,515,278,3.87,64,1,0,1938,760,15,108,113,488,41,0.85,Baltimore Orioles,Newington Park,,90,100,BAL,BL2,BL2
1882,NL,BSN,ATL,,3,85,,45,39,,,N,,472,3118,823,114,50,15,134,244,,,,,414,233,2.8,81,4,0,2247,738,10,77,352,295,37,0.91,Boston Red Caps,South End Grounds I,,100,98,BSN,BSN,BSN
1882,NL,CHN,CHC,,1,84,,55,29,,,Y,,604,3225,892,209,54,15,142,262,,,,,353,188,2.22,83,7,0,2289,667,13,102,279,376,54,0.89,Chicago White Stockings,Lake Front Park I/Lake Front Park II,,105,99,CHC,CHN,CHN
1882,NL,CL2,CBL,,5,84,,42,40,,,N,,402,3009,716,139,40,20,122,261,,,,,411,229,2.74,81,4,0,2253,743,22,132,232,355,71,0.9,Cleveland Blues,Kennard Street Park,,97,97,CLV,CL2,CL2
1882,AA,CN2,CIN,,1,80,,55,25,,,Y,,489,3007,795,95,47,5,102,204,,,,,268,132,1.65,77,11,0,2163,609,7,125,165,322,41,0.9,Cincinnati Red Stockings,Bank Street Grounds,,106,99,CIN,CN2,CN2
1882,NL,DTN,DTN,,5,86,,42,41,,,N,,407,3144,724,117,44,19,122,308,,,,,488,263,2.98,82,7,0,2379,808,19,129,354,377,44,0.89,Detroit Wolverines,Recreation Park,,100,101,DTN,DTN,DTN
1882,AA,LS2,LOU,,2,80,,42,38,,,N,,443,2806,728,110,28,9,128,193,,,,,352,156,2.03,73,6,0,2079,637,6,112,240,385,37,0.89,Louisville Eclipse,Eclipse Park I,,95,93,LOU,LS2,LS2
1882,AA,PH4,PHA,,3,75,,41,34,,,N,,406,2707,660,89,21,5,125,164,,,,,389,219,2.97,72,2,0,1989,682,13,99,190,361,36,0.89,Philadelphia Athletics,Oakdale Park,,110,110,PHA,PH4,PH4
1882,NL,PRO,PRO,,2,84,,52,32,,,N,,463,3104,776,121,53,11,102,255,,,,,356,190,2.27,80,10,1,2256,690,12,87,273,371,67,0.9,Providence Grays,Messer Street Grounds,,100,98,PRO,PRO,PRO
1882,AA,PT1,PIT,,4,79,,39,39,,,N,,428,2904,730,110,59,18,90,183,,,,,418,216,2.79,77,2,0,2088,694,4,82,252,397,40,0.88,Pittsburg Alleghenys,Exposition Park I,,100,99,PIT,PT1,PT1
1882,AA,SL4,STL,,5,80,,37,43,,,N,,399,2865,663,87,41,11,112,226,,,,,496,223,2.92,75,3,1,2064,729,7,103,225,446,41,0.87,St. Louis Brown Stockings,Sportsman's Park I,,104,104,STL,SL4,SL4
1882,NL,TRN,TRT,,7,85,,35,48,,,N,,430,3057,747,116,59,12,109,298,,,,,522,259,3.08,81,6,0,2271,837,13,168,189,432,70,0.88,Troy Trojans,Troy Ball Club Grounds,,95,98,TRO,TRN,TRN
1882,NL,WOR,WOR,,8,84,,18,66,,,N,,379,2984,689,109,57,16,113,303,,,,,652,308,3.76,75,0,0,2214,964,21,151,195,469,66,0.87,Worcester Ruby Legs,Worcester Driving Park Grounds,,102,107,WOR,WOR,WOR
1883,NL,BFN,BUF,,5,98,,52,45,,,N,,614,3729,1058,184,59,8,147,342,,,,,576,317,3.32,90,5,2,2577,971,12,101,362,445,,0.89,Buffalo Bisons,Riverside Park,,102,101,BUF,BFN,BFN
1883,AA,BL2,BLO,,8,96,,28,68,,,N,,471,3534,870,125,49,5,162,331,,,,,742,383,4.08,86,1,0,2532,943,12,190,290,624,,0.85,Baltimore Orioles,Oriole Park,,103,105,BAL,BL2,BL2
1883,NL,BSN,ATL,,1,98,,63,35,,,Y,,669,3657,1010,209,86,34,123,423,,,,,456,244,2.55,89,6,3,2580,853,11,90,538,382,,0.9,Boston Beaneaters,South End Grounds I,,102,98,BSN,BSN,BSN
1883,NL,CHN,CHC,,2,98,,59,39,,,N,,679,3658,1000,277,61,13,129,399,,,,,540,266,2.78,91,5,1,2586,942,21,123,299,543,,0.87,Chicago White Stockings,Lake Front Park II,,108,105,CHC,CHN,CHN
1883,NL,CL2,CBL,,4,100,,55,42,,,N,,476,3457,852,184,38,8,139,374,,,,,443,217,2.22,92,5,2,2637,818,7,217,402,389,,0.9,Cleveland Blues,Kennard Street Park,,99,100,CLV,CL2,CL2
1883,AA,CL5,CBK,,6,97,,32,65,,,N,,476,3553,854,101,79,15,134,410,,,,,659,370,3.96,90,4,0,2520,980,16,211,222,535,,0.87,Columbus Buckeyes,Recreation Park I,,92,93,COL,CL5,CL5
